Administration - Usage,"Select when the question or issue concerns monitoring or understanding Sigma usage (e.g., activity metrics, seat usage, feature adoption, or usage reports)."
Audit Logging,"Select when the question or issue involves audit logs or event history (e.g., who viewed/changed what and when, or how to access/export audit information)."
Authentication,"Select when the question or issue is about how users sign in to Sigma (e.g., SSO, SAML, OAuth, password policies, or login failures)."
Chart - Legend,"Select when the question or issue specifically concerns chart legends (e.g., showing/hiding series, legend placement, labeling, or styling)."
Chart - Maps,"Select when the question or issue involves map-based visualizations (e.g., geographic data, map layers, regions, or map styling and behavior)."
Connections,"Select when the question or issue is about configuring, editing, or troubleshooting data connections (e.g., warehouses, databases, or connection credentials)."
Connection Exploration,"Select when the question or issue involves exploring schemas, tables, or objects within a connection (e.g., browsing data sources, discovering tables, or previewing structures)."
CSV Upload,"Select when the question or issue is about uploading CSV files into Sigma (e.g., upload failures, limits, mapping columns, or refresh behavior)."
Custom Plugins,"Select when the question or issue concerns custom plugin functionality (e.g., custom visualizations, extensions, or plugin configuration and usage)."
Data Modeling,"Select when the question or issue is about defining data models or datasets (e.g., relationships, calculated columns, modeling strategy, or semantic layers)."
Data Privacy/Security,"Select when the question or issue involves protecting data (e.g., access controls, sensitive data handling, masking, or compliance-related concerns)."
Data Source Swap,"Select when the question or issue concerns switching a workbook, dataset, or element from one data source to another (e.g., swapping tables or connections)."
Download Data/PDF/PNG,"Select when the question or issue involves downloading or exporting data or visuals as files (e.g., CSV data exports, PDF dashboards, PNG images)."
Drill Down,"Select when the question or issue involves drilling into details from aggregated results (e.g., click-to-drill, drill paths, or underlying data exploration)."
Element Move/Copy,"Select when the question or issue is about moving or copying workbook elements (e.g., charts, tables, controls) between pages, workbooks, or containers."
Embedding - Basics,"Select when the question or issue concerns foundational aspects of embedding Sigma content (e.g., getting started, embedding setup, or basic configuration)."
Embedding - Display,"Select when the question or issue involves how embedded Sigma content looks and behaves in host applications (e.g., sizing, responsiveness, or visual layout)."
Embedding - Exports,"Select when the question or issue concerns exporting from embedded content (e.g., allowing downloads/exports from embedded views or controlling export options)."
