timestamp,total_conversations,date,conversation_ids_10_plus_min,count_10_plus_min,percentage_10_plus_min,count_5_plus_min,percentage_5_plus_min,conversation_ids_5_plus_min,count_5_to_10_min,percentage_5_to_10_min
2026-01-17T19:52:56.034Z,288,2026-01-07,"[{""id"":""215472579021425"",""waitTimeSeconds"":754,""waitTimeMinutes"":12.57,""createdAt"":1767792677,""firstAdminReplyAt"":1767793431,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472586040669"",""waitTimeSeconds"":936,""waitTimeMinutes"":15.6,""createdAt"":1767815287,""firstAdminReplyAt"":1767816223,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472580231384"",""waitTimeSeconds"":1914,""waitTimeMinutes"":31.9,""createdAt"":1767797537,""firstAdminReplyAt"":1767799451,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472580519311"",""waitTimeSeconds"":923,""waitTimeMinutes"":15.38,""createdAt"":1767798554,""firstAdminReplyAt"":1767799477,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472577533879"",""waitTimeSeconds"":937,""waitTimeMinutes"":15.62,""createdAt"":1767787713,""firstAdminReplyAt"":1767788650,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472576663371"",""waitTimeSeconds"":928,""waitTimeMinutes"":15.47,""createdAt"":1767781300,""firstAdminReplyAt"":1767782228,""adminAssigneeId"":null,""adminAssigneeName"":null}]",6,2.14,20,7.12,"[{""id"":""215472577078302"",""waitTimeSeconds"":479,""waitTimeMinutes"":7.98,""createdAt"":1767784294,""firstAdminReplyAt"":1767784773,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472588483962"",""waitTimeSeconds"":435,""waitTimeMinutes"":7.25,""createdAt"":1767830524,""firstAdminReplyAt"":1767830959,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472587275161"",""waitTimeSeconds"":372,""waitTimeMinutes"":6.2,""createdAt"":1767821602,""firstAdminReplyAt"":1767821974,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472582685975"",""waitTimeSeconds"":349,""waitTimeMinutes"":5.82,""createdAt"":1767805135,""firstAdminReplyAt"":1767805484,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472579021425"",""waitTimeSeconds"":754,""waitTimeMinutes"":12.57,""createdAt"":1767792677,""firstAdminReplyAt"":1767793431,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472577089240"",""waitTimeSeconds"":400,""waitTimeMinutes"":6.67,""createdAt"":1767784387,""firstAdminReplyAt"":1767784787,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472586040669"",""waitTimeSeconds"":936,""waitTimeMinutes"":15.6,""createdAt"":1767815287,""firstAdminReplyAt"":1767816223,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472578414355"",""waitTimeSeconds"":341,""waitTimeMinutes"":5.68,""createdAt"":1767790660,""firstAdminReplyAt"":1767791001,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472576532120"",""waitTimeSeconds"":358,""waitTimeMinutes"":5.97,""createdAt"":1767780206,""firstAdminReplyAt"":1767780564,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472582401269"",""waitTimeSeconds"":400,""waitTimeMinutes"":6.67,""createdAt"":1767803820,""firstAdminReplyAt"":1767804220,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472580231384"",""waitTimeSeconds"":1914,""waitTimeMinutes"":31.9,""createdAt"":1767797537,""firstAdminReplyAt"":1767799451,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472580519311"",""waitTimeSeconds"":923,""waitTimeMinutes"":15.38,""createdAt"":1767798554,""firstAdminReplyAt"":1767799477,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472577390396"",""waitTimeSeconds"":521,""waitTimeMinutes"":8.68,""createdAt"":1767787113,""firstAdminReplyAt"":1767787636,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472577533879"",""waitTimeSeconds"":937,""waitTimeMinutes"":15.62,""createdAt"":1767787713,""firstAdminReplyAt"":1767788650,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472579145442"",""waitTimeSeconds"":394,""waitTimeMinutes"":6.57,""createdAt"":1767793270,""firstAdminReplyAt"":1767793664,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472577022060"",""waitTimeSeconds"":328,""waitTimeMinutes"":5.47,""createdAt"":1767783997,""firstAdminReplyAt"":1767784325,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472577138811"",""waitTimeSeconds"":422,""waitTimeMinutes"":7.03,""createdAt"":1767784834,""firstAdminReplyAt"":1767785256,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472576663371"",""waitTimeSeconds"":928,""waitTimeMinutes"":15.47,""createdAt"":1767781300,""firstAdminReplyAt"":1767782228,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472576612022"",""waitTimeSeconds"":406,""waitTimeMinutes"":6.77,""createdAt"":1767780805,""firstAdminReplyAt"":1767781211,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472576961693"",""waitTimeSeconds"":317,""waitTimeMinutes"":5.28,""createdAt"":1767783687,""firstAdminReplyAt"":1767784004,""adminAssigneeId"":null,""adminAssigneeName"":null}]",14,4.98
2026-01-17T19:52:25.635Z,292,2026-01-08,"[{""id"":""215472593185197"",""waitTimeSeconds"":630,""waitTimeMinutes"":10.5,""createdAt"":1767869223,""firstAdminReplyAt"":1767869853,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472594159833"",""waitTimeSeconds"":862,""waitTimeMinutes"":14.37,""createdAt"":1767875779,""firstAdminReplyAt"":1767876641,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472594200538"",""waitTimeSeconds"":1440,""waitTimeMinutes"":24,""createdAt"":1767875888,""firstAdminReplyAt"":1767877328,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472594259002"",""waitTimeSeconds"":1059,""waitTimeMinutes"":17.65,""createdAt"":1767876293,""firstAdminReplyAt"":1767877353,""adminAssigneeId"":null,""adminAssigneeName"":null}]",4,1.38,30,10.34,"[{""id"":""215472603346914"",""waitTimeSeconds"":492,""waitTimeMinutes"":8.2,""createdAt"":1767902917,""firstAdminReplyAt"":1767903409,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595402507"",""waitTimeSeconds"":454,""waitTimeMinutes"":7.57,""createdAt"":1767881955,""firstAdminReplyAt"":1767882409,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595389948"",""waitTimeSeconds"":480,""waitTimeMinutes"":8,""createdAt"":1767881877,""firstAdminReplyAt"":1767882357,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472603458342"",""waitTimeSeconds"":327,""waitTimeMinutes"":5.45,""createdAt"":1767903147,""firstAdminReplyAt"":1767903474,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472598769196"",""waitTimeSeconds"":330,""waitTimeMinutes"":5.5,""createdAt"":1767891339,""firstAdminReplyAt"":1767891669,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472592991308"",""waitTimeSeconds"":422,""waitTimeMinutes"":7.03,""createdAt"":1767867474,""firstAdminReplyAt"":1767867896,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472593247980"",""waitTimeSeconds"":342,""waitTimeMinutes"":5.7,""createdAt"":1767869757,""firstAdminReplyAt"":1767870099,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472593185197"",""waitTimeSeconds"":630,""waitTimeMinutes"":10.5,""createdAt"":1767869223,""firstAdminReplyAt"":1767869853,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472600274342"",""waitTimeSeconds"":404,""waitTimeMinutes"":6.73,""createdAt"":1767894593,""firstAdminReplyAt"":1767894997,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472594159833"",""waitTimeSeconds"":862,""waitTimeMinutes"":14.37,""createdAt"":1767875779,""firstAdminReplyAt"":1767876641,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472592966008"",""waitTimeSeconds"":453,""waitTimeMinutes"":7.55,""createdAt"":1767867245,""firstAdminReplyAt"":1767867698,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472592992057"",""waitTimeSeconds"":456,""waitTimeMinutes"":7.6,""createdAt"":1767867481,""firstAdminReplyAt"":1767867937,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595266913"",""waitTimeSeconds"":337,""waitTimeMinutes"":5.62,""createdAt"":1767881195,""firstAdminReplyAt"":1767881532,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472596601571"",""waitTimeSeconds"":321,""waitTimeMinutes"":5.35,""createdAt"":1767887040,""firstAdminReplyAt"":1767887361,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472604767188"",""waitTimeSeconds"":311,""waitTimeMinutes"":5.18,""createdAt"":1767911073,""firstAdminReplyAt"":1767911384,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472596622927"",""waitTimeSeconds"":333,""waitTimeMinutes"":5.55,""createdAt"":1767887097,""firstAdminReplyAt"":1767887430,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595278484"",""waitTimeSeconds"":347,""waitTimeMinutes"":5.78,""createdAt"":1767881236,""firstAdminReplyAt"":1767881583,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595303391"",""waitTimeSeconds"":349,""waitTimeMinutes"":5.82,""createdAt"":1767881326,""firstAdminReplyAt"":1767881675,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472604763424"",""waitTimeSeconds"":342,""waitTimeMinutes"":5.7,""createdAt"":1767911030,""firstAdminReplyAt"":1767911372,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472603469852"",""waitTimeSeconds"":317,""waitTimeMinutes"":5.28,""createdAt"":1767903171,""firstAdminReplyAt"":1767903488,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595342667"",""waitTimeSeconds"":495,""waitTimeMinutes"":8.25,""createdAt"":1767881557,""firstAdminReplyAt"":1767882053,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595733620"",""waitTimeSeconds"":527,""waitTimeMinutes"":8.78,""createdAt"":1767883424,""firstAdminReplyAt"":1767883951,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595344128"",""waitTimeSeconds"":505,""waitTimeMinutes"":8.42,""createdAt"":1767881564,""firstAdminReplyAt"":1767882070,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595415848"",""waitTimeSeconds"":497,""waitTimeMinutes"":8.28,""createdAt"":1767882045,""firstAdminReplyAt"":1767882542,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472595286105"",""waitTimeSeconds"":314,""waitTimeMinutes"":5.23,""createdAt"":1767881267,""firstAdminReplyAt"":1767881581,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472594200538"",""waitTimeSeconds"":1440,""waitTimeMinutes"":24,""createdAt"":1767875888,""firstAdminReplyAt"":1767877328,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472592901142"",""waitTimeSeconds"":400,""waitTimeMinutes"":6.67,""createdAt"":1767866673,""firstAdminReplyAt"":1767867073,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472594259002"",""waitTimeSeconds"":1059,""waitTimeMinutes"":17.65,""createdAt"":1767876293,""firstAdminReplyAt"":1767877353,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472593041250"",""waitTimeSeconds"":321,""waitTimeMinutes"":5.35,""createdAt"":1767867972,""firstAdminReplyAt"":1767868293,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472592960793"",""waitTimeSeconds"":464,""waitTimeMinutes"":7.73,""createdAt"":1767867194,""firstAdminReplyAt"":1767867658,""adminAssigneeId"":null,""adminAssigneeName"":null}]",26,8.97
2026-01-17T19:51:52.359Z,190,2026-01-09,[],0,0,8,4.26,"[{""id"":""215472611320515"",""waitTimeSeconds"":371,""waitTimeMinutes"":6.18,""createdAt"":1767965571,""firstAdminReplyAt"":1767965942,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472613873455"",""waitTimeSeconds"":433,""waitTimeMinutes"":7.22,""createdAt"":1767976986,""firstAdminReplyAt"":1767977419,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472615673117"",""waitTimeSeconds"":402,""waitTimeMinutes"":6.7,""createdAt"":1767984334,""firstAdminReplyAt"":1767984736,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472615688216"",""waitTimeSeconds"":365,""waitTimeMinutes"":6.08,""createdAt"":1767984404,""firstAdminReplyAt"":1767984769,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472613220973"",""waitTimeSeconds"":313,""waitTimeMinutes"":5.22,""createdAt"":1767975210,""firstAdminReplyAt"":1767975523,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472612211695"",""waitTimeSeconds"":564,""waitTimeMinutes"":9.4,""createdAt"":1767970306,""firstAdminReplyAt"":1767970870,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472612327448"",""waitTimeSeconds"":434,""waitTimeMinutes"":7.23,""createdAt"":1767970665,""firstAdminReplyAt"":1767971099,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472612662435"",""waitTimeSeconds"":380,""waitTimeMinutes"":6.33,""createdAt"":1767972215,""firstAdminReplyAt"":1767972595,""adminAssigneeId"":null,""adminAssigneeName"":null}]",8,4.26
2026-01-17T19:51:31.809Z,3,2026-01-10,[],0,0,0,0,[],0,0
2026-01-17T19:51:30.165Z,3,2026-01-11,"[{""id"":""215472633595486"",""waitTimeSeconds"":55290,""waitTimeMinutes"":921.5,""createdAt"":1768156549,""firstAdminReplyAt"":1768211839,""adminAssigneeId"":null,""adminAssigneeName"":null}]",1,33.33,1,33.33,"[{""id"":""215472633595486"",""waitTimeSeconds"":55290,""waitTimeMinutes"":921.5,""createdAt"":1768156549,""firstAdminReplyAt"":1768211839,""adminAssigneeId"":null,""adminAssigneeName"":null}]",0,0
2026-01-17T19:51:28.678Z,238,2026-01-12,"[{""id"":""215472646385255"",""waitTimeSeconds"":627,""waitTimeMinutes"":10.45,""createdAt"":1768235876,""firstAdminReplyAt"":1768236503,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472644342578"",""waitTimeSeconds"":709,""waitTimeMinutes"":11.82,""createdAt"":1768232500,""firstAdminReplyAt"":1768233209,""adminAssigneeId"":null,""adminAssigneeName"":null}]",2,0.87,5,2.16,"[{""id"":""215472639473538"",""waitTimeSeconds"":369,""waitTimeMinutes"":6.15,""createdAt"":1768214314,""firstAdminReplyAt"":1768214683,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472640062651"",""waitTimeSeconds"":407,""waitTimeMinutes"":6.78,""createdAt"":1768216316,""firstAdminReplyAt"":1768216724,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472651375758"",""waitTimeSeconds"":387,""waitTimeMinutes"":6.45,""createdAt"":1768260804,""firstAdminReplyAt"":1768261191,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472646385255"",""waitTimeSeconds"":627,""waitTimeMinutes"":10.45,""createdAt"":1768235876,""firstAdminReplyAt"":1768236503,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472644342578"",""waitTimeSeconds"":709,""waitTimeMinutes"":11.82,""createdAt"":1768232500,""firstAdminReplyAt"":1768233209,""adminAssigneeId"":null,""adminAssigneeName"":null}]",3,1.3
2026-01-17T19:51:02.876Z,315,2026-01-13,"[{""id"":""215472654968486"",""waitTimeSeconds"":707,""waitTimeMinutes"":11.78,""createdAt"":1768298475,""firstAdminReplyAt"":1768299182,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472659009958"",""waitTimeSeconds"":13407,""waitTimeMinutes"":223.45,""createdAt"":1768312603,""firstAdminReplyAt"":1768326010,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472664250840"",""waitTimeSeconds"":894,""waitTimeMinutes"":14.9,""createdAt"":1768331941,""firstAdminReplyAt"":1768332835,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472654962036"",""waitTimeSeconds"":1015,""waitTimeMinutes"":16.92,""createdAt"":1768298446,""firstAdminReplyAt"":1768299461,""adminAssigneeId"":null,""adminAssigneeName"":null}]",4,1.29,6,1.94,"[{""id"":""215472654968486"",""waitTimeSeconds"":707,""waitTimeMinutes"":11.78,""createdAt"":1768298475,""firstAdminReplyAt"":1768299182,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472662907164"",""waitTimeSeconds"":356,""waitTimeMinutes"":5.93,""createdAt"":1768326894,""firstAdminReplyAt"":1768327250,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472659009958"",""waitTimeSeconds"":13407,""waitTimeMinutes"":223.45,""createdAt"":1768312603,""firstAdminReplyAt"":1768326010,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472664250840"",""waitTimeSeconds"":894,""waitTimeMinutes"":14.9,""createdAt"":1768331941,""firstAdminReplyAt"":1768332835,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472661512271"",""waitTimeSeconds"":549,""waitTimeMinutes"":9.15,""createdAt"":1768322067,""firstAdminReplyAt"":1768322616,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472654962036"",""waitTimeSeconds"":1015,""waitTimeMinutes"":16.92,""createdAt"":1768298446,""firstAdminReplyAt"":1768299461,""adminAssigneeId"":null,""adminAssigneeName"":null}]",2,0.65
2026-01-17T19:50:29.117Z,269,2026-01-14,"[{""id"":""215472670591906"",""waitTimeSeconds"":1432,""waitTimeMinutes"":23.87,""createdAt"":1768385230,""firstAdminReplyAt"":1768386662,""adminAssigneeId"":null,""adminAssigneeName"":null}]",1,0.38,3,1.13,"[{""id"":""215472679375715"",""waitTimeSeconds"":383,""waitTimeMinutes"":6.38,""createdAt"":1768423098,""firstAdminReplyAt"":1768423481,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472670667563"",""waitTimeSeconds"":438,""waitTimeMinutes"":7.3,""createdAt"":1768385592,""firstAdminReplyAt"":1768386030,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472670591906"",""waitTimeSeconds"":1432,""waitTimeMinutes"":23.87,""createdAt"":1768385230,""firstAdminReplyAt"":1768386662,""adminAssigneeId"":null,""adminAssigneeName"":null}]",2,0.75
2026-01-17T19:49:55.923Z,311,2026-01-15,"[{""id"":""215472696762843"",""waitTimeSeconds"":752,""waitTimeMinutes"":12.53,""createdAt"":1768519239,""firstAdminReplyAt"":1768519991,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472686016394"",""waitTimeSeconds"":648,""waitTimeMinutes"":10.8,""createdAt"":1768472479,""firstAdminReplyAt"":1768473127,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472689576990"",""waitTimeSeconds"":748,""waitTimeMinutes"":12.47,""createdAt"":1768488885,""firstAdminReplyAt"":1768489633,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695824852"",""waitTimeSeconds"":622,""waitTimeMinutes"":10.37,""createdAt"":1768513074,""firstAdminReplyAt"":1768513696,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695124610"",""waitTimeSeconds"":608,""waitTimeMinutes"":10.13,""createdAt"":1768510471,""firstAdminReplyAt"":1768511079,""adminAssigneeId"":null,""adminAssigneeName"":null}]",5,1.66,19,6.29,"[{""id"":""215472696762843"",""waitTimeSeconds"":752,""waitTimeMinutes"":12.53,""createdAt"":1768519239,""firstAdminReplyAt"":1768519991,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472688617525"",""waitTimeSeconds"":398,""waitTimeMinutes"":6.63,""createdAt"":1768485787,""firstAdminReplyAt"":1768486185,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472686016394"",""waitTimeSeconds"":648,""waitTimeMinutes"":10.8,""createdAt"":1768472479,""firstAdminReplyAt"":1768473127,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695102859"",""waitTimeSeconds"":305,""waitTimeMinutes"":5.08,""createdAt"":1768510423,""firstAdminReplyAt"":1768510728,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472696439792"",""waitTimeSeconds"":455,""waitTimeMinutes"":7.58,""createdAt"":1768516685,""firstAdminReplyAt"":1768517140,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695045677"",""waitTimeSeconds"":386,""waitTimeMinutes"":6.43,""createdAt"":1768510291,""firstAdminReplyAt"":1768510677,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472690570910"",""waitTimeSeconds"":424,""waitTimeMinutes"":7.07,""createdAt"":1768492119,""firstAdminReplyAt"":1768492543,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472689576990"",""waitTimeSeconds"":748,""waitTimeMinutes"":12.47,""createdAt"":1768488885,""firstAdminReplyAt"":1768489633,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695824852"",""waitTimeSeconds"":622,""waitTimeMinutes"":10.37,""createdAt"":1768513074,""firstAdminReplyAt"":1768513696,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472698309470"",""waitTimeSeconds"":401,""waitTimeMinutes"":6.68,""createdAt"":1768524673,""firstAdminReplyAt"":1768525074,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695959523"",""waitTimeSeconds"":416,""waitTimeMinutes"":6.93,""createdAt"":1768513760,""firstAdminReplyAt"":1768514176,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472697136326"",""waitTimeSeconds"":416,""waitTimeMinutes"":6.93,""createdAt"":1768521496,""firstAdminReplyAt"":1768521912,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695198393"",""waitTimeSeconds"":444,""waitTimeMinutes"":7.4,""createdAt"":1768510634,""firstAdminReplyAt"":1768511078,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695124610"",""waitTimeSeconds"":608,""waitTimeMinutes"":10.13,""createdAt"":1768510471,""firstAdminReplyAt"":1768511079,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472695114805"",""waitTimeSeconds"":593,""waitTimeMinutes"":9.88,""createdAt"":1768510449,""firstAdminReplyAt"":1768511042,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472693892011"",""waitTimeSeconds"":334,""waitTimeMinutes"":5.57,""createdAt"":1768506334,""firstAdminReplyAt"":1768506668,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472691214349"",""waitTimeSeconds"":330,""waitTimeMinutes"":5.5,""createdAt"":1768494822,""firstAdminReplyAt"":1768495152,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472690335836"",""waitTimeSeconds"":347,""waitTimeMinutes"":5.78,""createdAt"":1768491273,""firstAdminReplyAt"":1768491620,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472686734532"",""waitTimeSeconds"":322,""waitTimeMinutes"":5.37,""createdAt"":1768477636,""firstAdminReplyAt"":1768477958,""adminAssigneeId"":null,""adminAssigneeName"":null}]",14,4.64
2026-01-17T19:49:24.408Z,240,2026-01-16,"[{""id"":""215472704418599"",""waitTimeSeconds"":2231,""waitTimeMinutes"":37.18,""createdAt"":1768574040,""firstAdminReplyAt"":1768576271,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472710162817"",""waitTimeSeconds"":684,""waitTimeMinutes"":11.4,""createdAt"":1768591763,""firstAdminReplyAt"":1768592447,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472703920823"",""waitTimeSeconds"":3935,""waitTimeMinutes"":65.58,""createdAt"":1768571469,""firstAdminReplyAt"":1768575404,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472702060178"",""waitTimeSeconds"":627,""waitTimeMinutes"":10.45,""createdAt"":1768561963,""firstAdminReplyAt"":1768562590,""adminAssigneeId"":null,""adminAssigneeName"":null}]",4,1.69,16,6.75,"[{""id"":""215472704418599"",""waitTimeSeconds"":2231,""waitTimeMinutes"":37.18,""createdAt"":1768574040,""firstAdminReplyAt"":1768576271,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472710162817"",""waitTimeSeconds"":684,""waitTimeMinutes"":11.4,""createdAt"":1768591763,""firstAdminReplyAt"":1768592447,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472703889271"",""waitTimeSeconds"":444,""waitTimeMinutes"":7.4,""createdAt"":1768571220,""firstAdminReplyAt"":1768571664,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472702066457"",""waitTimeSeconds"":433,""waitTimeMinutes"":7.22,""createdAt"":1768562019,""firstAdminReplyAt"":1768562452,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472703930389"",""waitTimeSeconds"":574,""waitTimeMinutes"":9.57,""createdAt"":1768571548,""firstAdminReplyAt"":1768572122,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472703926386"",""waitTimeSeconds"":559,""waitTimeMinutes"":9.32,""createdAt"":1768571514,""firstAdminReplyAt"":1768572073,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472701935676"",""waitTimeSeconds"":322,""waitTimeMinutes"":5.37,""createdAt"":1768561131,""firstAdminReplyAt"":1768561453,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472702656372"",""waitTimeSeconds"":511,""waitTimeMinutes"":8.52,""createdAt"":1768565761,""firstAdminReplyAt"":1768566272,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472701808530"",""waitTimeSeconds"":340,""waitTimeMinutes"":5.67,""createdAt"":1768560040,""firstAdminReplyAt"":1768560380,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472703920823"",""waitTimeSeconds"":3935,""waitTimeMinutes"":65.58,""createdAt"":1768571469,""firstAdminReplyAt"":1768575404,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472704692558"",""waitTimeSeconds"":363,""waitTimeMinutes"":6.05,""createdAt"":1768575634,""firstAdminReplyAt"":1768575997,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472703876194"",""waitTimeSeconds"":544,""waitTimeMinutes"":9.07,""createdAt"":1768571121,""firstAdminReplyAt"":1768571665,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472703876598"",""waitTimeSeconds"":511,""waitTimeMinutes"":8.52,""createdAt"":1768571124,""firstAdminReplyAt"":1768571636,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472701632653"",""waitTimeSeconds"":321,""waitTimeMinutes"":5.35,""createdAt"":1768558233,""firstAdminReplyAt"":1768558554,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472702060178"",""waitTimeSeconds"":627,""waitTimeMinutes"":10.45,""createdAt"":1768561963,""firstAdminReplyAt"":1768562590,""adminAssigneeId"":null,""adminAssigneeName"":null},{""id"":""215472702020004"",""waitTimeSeconds"":451,""waitTimeMinutes"":7.52,""createdAt"":1768561671,""firstAdminReplyAt"":1768562122,""adminAssigneeId"":null,""adminAssigneeName"":null}]",12,5.06
