Date,Total Conversations,Conversations with Response,10+ Min Response Waits,Percentage 10+ Min Response,Response Conversation IDs (10+ min),Conversations with Assignment,10+ Min Assignment Waits,Percentage 10+ Min Assignment,Assignment Conversation IDs (10+ min),Database ID,Timestamp
2025-12-17,298,294,44,14.97%,"215472305467854 (13.92 min), 215472306147395 (10.87 min), 215472302936181 (31.18 min), 215472317335324 (21.03 min), 215472306250046 (17.63 min), 215472317848185 (28.97 min), 215472304739570 (15.13 min), 215472307829041 (10.02 min), 215472308046552 (12.45 min), 215472302346218 (59.47 min), 215472302842564 (17.87 min), 215472302839054 (48.85 min), 215472316555858 (54.1 min), 215472306228708 (14.35 min), 215472305167670 (12.3 min), 215472307916156 (10.23 min), 215472307919428 (16.15 min), 215472318668743 (11.3 min), 215472318053253 (13.62 min), 215472303955409 (17.23 min), 215472317922968 (17.17 min), 215472304665299 (12.38 min), 215472306239537 (19.23 min), 215472306108369 (11.42 min), 215472307990695 (14.23 min), 215472309780125 (14.18 min), 215472307931165 (18.95 min), 215472306271092 (15.43 min), 215472307917208 (11.07 min), 215472308047228 (13.62 min), 215472302652454 (16.43 min), 215472307997443 (15.35 min), 215472307899180 (11.68 min), 215472302032110 (110.45 min), 215472306054142 (10.82 min), 215472305982705 (11.48 min), 215472306155755 (14.87 min), 215472306137735 (10.02 min), 215472305360804 (29.82 min), 215472302995219 (10.78 min), 215472303290894 (11.0 min), 215472303651235 (18.13 min), 215472305098267 (11.08 min), 215472303887009 (11.63 min)",297,0,0.0%,,12,2025-12-30T20:59:20.185303
2025-12-18,245,244,12,4.92%,"215472331639319 (118.08 min), 215472324220449 (10.55 min), 215472320260719 (18.25 min), 215472321630086 (12.97 min), 215472324475713 (11.4 min), 215472332481993 (41.95 min), 215472320253858 (11.63 min), 215472324482404 (12.47 min), 215472324456582 (12.57 min), 215472322704421 (11.93 min), 215472325868180 (36.75 min), 215472324237216 (12.4 min)",245,0,0.0%,,13,2025-12-30T20:59:53.867669
2025-12-19,194,190,14,7.37%,"215472339162208 (12.82 min), 215472338254491 (12.08 min), 215472336278903 (139.73 min), 215472336461982 (16.35 min), 215472338014243 (16.9 min), 215472336710856 (10.83 min), 215472338564973 (12.33 min), 215472339126230 (12.45 min), 215472335454658 (12.37 min), 215472339173352 (11.38 min), 215472336449936 (21.93 min), 215472338011072 (14.02 min), 215472334693563 (11.58 min), 215472336724832 (10.65 min)",193,0,0.0%,,14,2025-12-30T21:00:19.139639
2025-12-22,208,208,7,3.37%,"215472388792889 (11.77 min), 215472370805800 (32.97 min), 215472388059483 (164.7 min), 215472386906469 (18.63 min), 215472374163637 (13.17 min), 215472374943281 (12.8 min), 215472374527642 (16.55 min)",208,0,0.0%,,15,2025-12-30T21:00:45.608441
2025-12-23,174,170,1,0.59%,215472404818062 (192.27 min),173,0,0.0%,,16,2025-12-30T21:01:11.245899
2025-12-24,57,54,4,7.41%,"215472411597041 (10.15 min), 215472405637218 (91.23 min), 215472405633415 (92.35 min), 215472405653130 (88.18 min)",57,0,0.0%,,17,2025-12-30T21:01:19.855984
2025-12-25,6,6,5,83.33%,"215472420297835 (905.32 min), 215472419664951 (964.9 min), 215472424426301 (310.47 min), 215472421470940 (693.43 min), 215472422074810 (631.42 min)",6,0,0.0%,,18,2025-12-30T21:01:21.839369
2025-12-26,42,41,0,0.0%,,41,0,0.0%,,19,2025-12-30T21:01:27.914589
2025-12-29,119,117,6,5.13%,"215472472931525 (289.8 min), 215472455767679 (42.08 min), 215472473568553 (165.63 min), 215472473642946 (151.3 min), 215472461280004 (10.1 min), 215472455710242 (52.68 min)",118,0,0.0%,,4,2025-12-30T21:01:41.068449
2025-12-30,108,106,2,1.89%,"215472474307408 (46.78 min), 215472474481549 (34.23 min)",108,0,0.0%,,10,2025-12-30T21:01:54.357074
